title,description,age_min,age_max,subject,activity_type,duration_minutes,emoji,benefit_explanation,instructions_for_parent,learning_objectives,materials_needed,safety_warnings,skills_improved,step_1_title,step_1_instruction,step_2_title,step_2_instruction,step_3_title,step_3_instruction
"Stack & Topple","Toddler stacks soft blocks then knocks them down with glee.",24,36,"motor","hands_on",10,"🧱","Builds hand-eye coordination, cause-and-effect understanding, and grip strength.","Sit on the floor with your toddler and model stacking 2-3 blocks before letting them try.","Hand-eye coordination|Cause and effect|Patience","Soft foam or fabric blocks (6-8)","Use only soft blocks; remove any with sharp edges.","fine_motor|spatial_awareness","Set up","Lay 6 soft blocks on the floor in front of your toddler.","Show + try","Stack 2 blocks slowly. Cheer when they topple.","Repeat","Let your toddler stack and knock down at their own pace."
"Bubble Chase","Toddler chases bubbles, learning whole-body movement and tracking.",24,42,"motor","outdoor",15,"🫧","Trains visual tracking, gross-motor coordination, and joyful movement.","Use a non-toxic bubble solution. Stay near the toddler outdoors.","Visual tracking|Gross motor|Joyful play","Bubble solution and wand","Bubbles can be slippery on hard surfaces — play on grass or rug.","gross_motor|tracking","Blow bubbles","Send a few bubbles into the air.","Chase + pop","Encourage your toddler to chase, pat, and pop them.","Rest break","Sit down together and count the last few bubbles."
"Animal Sounds","Toddler matches stuffed animals to the sound each one makes.",18,36,"language","game",10,"🐮","Builds first-word vocabulary and listening comprehension.","Use exaggerated, friendly animal sounds and pause to let the toddler imitate.","First words|Listening|Imitation","3-5 stuffed animals or animal flashcards","Avoid sounds that startle (no loud roars).","language|listening","Line up animals","Place the animals in a row.","Make the sound","Pick one up and say its name + sound (e.g. cow + 'moo').","Toddler echoes","Wait for the toddler to imitate; cheer any attempt."
"Sticker Page","Toddler peels stickers and places them on a paper shape.",24,42,"art","craft",10,"🎨","Develops pincer grip, focus, and self-expression.","Sit beside your toddler. Use large, easy-peel stickers.","Fine motor|Focus|Choice","Paper with a printed shape outline|Large stickers","Stickers are not edible — supervise closely.","fine_motor|focus","Choose a shape","Show the toddler the outline (circle, heart).","Peel + place","Demonstrate peeling one and placing it inside the shape.","Free fill","Let the toddler fill the shape with their own choices."
"Big & Little Sort","Toddler sorts objects into 'big' and 'little' piles.",30,48,"cognitive","sorting",10,"🧮","Introduces comparative thinking and one-attribute classification.","Use 6-8 obvious size pairs (big spoon vs little spoon, etc.).","Comparison|Classification|First math","Pairs of big/little household items","Choose unbreakable items only.","cognitive|early_math","Show the piles","Place one 'big' and one 'little' pile divider in front.","Sort together","Hand items one at a time; ask 'big or little?'","Celebrate","Cheer when finished and count each pile aloud."
"Mirror Faces","Toddler mimics emotional faces in a mirror with a parent.",18,36,"social","interactive",8,"😊","Develops emotional vocabulary and empathy through facial mirroring.","Use a safe mirror or your phone in selfie mode.","Emotion words|Mirroring|Connection","A small mirror or phone camera","Hold the mirror so the toddler can't grab and drop it.","emotional|social","Look together","Sit cheek-to-cheek looking at the mirror.","Make a face","Pull a happy, then sad, then surprised face. Name each.","Take turns","Let the toddler make a face — name what you see."
"Dough Squish","Toddler squishes, rolls, and pokes play dough.",24,48,"sensory","hands_on",15,"🟢","Sensory regulation + finger strength + creative exploration.","Use a clean surface. Roll a snake yourself to spark imitation.","Sensory|Fine motor|Creativity","Non-toxic play dough (or homemade flour dough)","Supervise — dough is not for eating.","sensory|fine_motor","Open dough","Open the container together; hand the toddler a piece.","Show squish","Squish it slowly between your palms. Make a sound.","Roll a snake","Roll a snake; let the toddler poke it with one finger."
"Where's the Penguin?","Hide a toy and let the toddler find it under a blanket.",18,30,"cognitive","game",8,"🐧","Object permanence + memory + delight.","Use one small toy and a thin blanket.","Object permanence|Memory|Anticipation","A small soft toy|A thin blanket","Keep the blanket short — never cover the toddler's face.","cognitive|memory","Show the toy","Hold up the toy and name it ('Penguin!').","Hide","Cover it with the blanket as the toddler watches.","Reveal","Ask 'where's the penguin?' and lift the blanket together."
"Roll the Ball","Toddler rolls a ball back and forth with a parent.",18,36,"motor","game",10,"⚽","Turn-taking + bilateral coordination + connection.","Sit facing each other 2-3 feet apart on a soft surface.","Turn-taking|Coordination|Reciprocity","A medium soft ball","Avoid hard balls and slippery floors.","gross_motor|social","Sit + face","Sit on the floor facing each other.","Roll","Roll the ball gently toward the toddler.","Return","Wait for them to roll it back — encourage with smiles."
"Crayon Scribble","Toddler holds a chunky crayon and scribbles freely.",24,42,"art","creative",10,"🖍️","Early mark-making, grip strength, and self-expression.","Use chunky toddler crayons that fit a fist grip.","Mark-making|Grip|Expression","Chunky crayons|Large paper","Crayons should be non-toxic; supervise mouth.","fine_motor|art","Tape paper","Tape paper to the table so it doesn't slide.","Demo grip","Hold a crayon in a fist and scribble slowly.","Toddler tries","Hand them a crayon — applaud any mark."
"Story Time Snuggle","A short rhyming book read together with full attention.",18,42,"literacy","reading",10,"📚","Builds vocabulary, attachment, and listening stamina.","Pick a board book with rhymes and pictures. No screens.","Vocabulary|Listening|Attachment","One board book","Avoid books with small parts that detach.","language|attachment","Snuggle","Get cosy on the couch or floor.","Read","Read slowly, pointing at pictures.","Pause + ask","Pause and ask 'what's this?' on every page."
"Water Pouring","Toddler pours water between two cups over a tray.",30,48,"sensory","experiment",15,"💧","Volume, cause-and-effect, hand-eye coordination.","Use a contained tray. Towel ready.","Volume|Coordination|Curiosity","2 small plastic cups|A shallow tray|A towel","Use water only — never hot. Mop spills immediately.","fine_motor|cause_effect","Set tray","Place the tray on a low table.","Fill first cup","Pour water into the first cup; hand it to the toddler.","Pour + observe","Encourage pouring back and forth; talk about full + empty."
