age_tier,cognitive_domain,outcome,mastery_criterion
"baby (0-23m)",sensory,"Demonstrate age-appropriate competence in sensory","EMA score ≥ 0.80"
"baby (0-23m)",language,"Demonstrate age-appropriate competence in language","EMA score ≥ 0.80"
"baby (0-23m)",motor,"Demonstrate age-appropriate competence in motor","EMA score ≥ 0.80"
"toddler (2-3y)",language,"Demonstrate age-appropriate competence in language","EMA score ≥ 0.80"
"toddler (2-3y)",numeracy,"Demonstrate age-appropriate competence in numeracy","EMA score ≥ 0.80"
"toddler (2-3y)",motor,"Demonstrate age-appropriate competence in motor","EMA score ≥ 0.80"
"preschool (4-5y)",literacy,"Demonstrate age-appropriate competence in literacy","EMA score ≥ 0.80"
"preschool (4-5y)",numeracy,"Demonstrate age-appropriate competence in numeracy","EMA score ≥ 0.80"
"preschool (4-5y)",arts,"Demonstrate age-appropriate competence in arts","EMA score ≥ 0.80"
"preschool (4-5y)",social,"Demonstrate age-appropriate competence in social","EMA score ≥ 0.80"
"school (6-10y)",literacy,"Demonstrate age-appropriate competence in literacy","EMA score ≥ 0.80"
"school (6-10y)",math,"Demonstrate age-appropriate competence in math","EMA score ≥ 0.80"
"school (6-10y)",science,"Demonstrate age-appropriate competence in science","EMA score ≥ 0.80"
"school (6-10y)",stem_coding,"Demonstrate age-appropriate competence in stem_coding","EMA score ≥ 0.80"
"school (6-10y)",arts,"Demonstrate age-appropriate competence in arts","EMA score ≥ 0.80"
